CustomerID,Age,Gender,SubscriptionType,MonthlyCharges,TenureMonths,SupportTickets,PaymentMethod,SatisfactionScore,UsageHoursPerWeek
1001,56,Male,Premium,4862,34,3,UPI,3,11
1002,69,Female,Basic,4526,56,5,Credit Card,2,29
1003,46,Male,Basic,1073,32,13,UPI,2,41
1004,32,Male,Premium,2821,9,2,UPI,10,5
1005,60,Female,Basic,4535,63,11,Net Banking,4,7
1006,25,Male,Premium,289,33,9,Net Banking,1,22
1007,38,Male,Premium,2479,21,13,Credit Card,10,47
1008,56,Female,Premium,656,55,9,Net Banking,2,4
1009,36,Male,Basic,2480,57,6,Credit Card,10,32
1010,40,Female,Premium,4649,2,6,Debit Card,2,19
1011,28,Female,Basic,1204,13,14,Credit Card,4,45
1012,28,Female,Enterprise,4734,4,4,UPI,4,33
1013,41,Female,Premium,544,50,2,Credit Card,1,1
1014,53,Female,Basic,2911,48,1,Debit Card,7,46
1015,57,Male,Basic,4952,30,14,UPI,7,41
1016,41,Male,Basic,2662,29,14,Credit Card,10,44
1017,20,Female,Premium,1316,8,3,Net Banking,10,41
1018,39,Female,Basic,825,12,13,Net Banking,10,8
1019,19,Male,Premium,4579,41,14,Net Banking,1,32
1020,41,Female,Basic,2179,26,12,Credit Card,8,30
1021,61,Female,Premium,4194,50,3,Credit Card,10,46
1022,47,Female,Premium,1878,2,10,Debit Card,7,28
1023,55,Male,Premium,422,55,7,UPI,7,41
1024,19,Male,Premium,943,56,7,UPI,6,32
1025,38,Female,Basic,662,14,12,UPI,4,25
1026,50,Female,Basic,1768,6,4,UPI,8,34
1027,29,Male,Premium,3547,61,12,Credit Card,2,33
1028,39,Male,Basic,1936,12,5,Credit Card,7,13
1029,61,Female,Basic,4239,13,7,Debit Card,3,25
1030,42,Female,Basic,4151,19,14,UPI,3,42
1031,66,Male,Basic,864,44,0,Credit Card,7,40
1032,44,Male,Basic,1556,59,4,Credit Card,3,39
1033,59,Male,Enterprise,1214,37,3,Credit Card,5,44
1034,45,Female,Basic,2332,25,3,Credit Card,8,49
1035,33,Male,Premium,2868,16,10,UPI,4,44
1036,32,Female,Basic,1254,38,1,UPI,7,48
1037,64,Male,Premium,1964,43,9,Credit Card,7,10
1038,68,Male,Basic,4658,14,0,Net Banking,2,31
1039,61,Male,Enterprise,3069,6,13,Debit Card,8,44
1040,69,Male,Enterprise,1612,23,14,UPI,10,11
1041,20,Female,Basic,867,60,5,UPI,10,25
1042,54,Female,Enterprise,3570,12,6,Net Banking,9,46
1043,68,Male,Enterprise,1594,13,4,UPI,6,45
1044,24,Female,Premium,298,6,14,Net Banking,5,34
1045,38,Male,Premium,4270,63,7,Net Banking,1,20
1046,26,Male,Basic,621,38,8,Credit Card,1,7
1047,56,Male,Premium,3850,50,10,UPI,9,33
1048,35,Male,Basic,4357,52,10,Debit Card,4,35
1049,21,Female,Basic,1332,40,1,Net Banking,1,29
1050,42,Male,Enterprise,1902,8,10,Debit Card,10,12
1051,31,Male,Basic,3820,61,12,Credit Card,3,5
1052,67,Female,Premium,3390,8,3,UPI,6,12
1053,26,Male,Premium,797,34,10,Credit Card,8,29
1054,43,Male,Enterprise,591,60,8,Credit Card,10,35
1055,19,Male,Enterprise,1275,57,4,Debit Card,2,20
1056,37,Female,Basic,2850,46,2,Debit Card,8,37
1057,45,Male,Basic,2584,22,5,Net Banking,1,1
1058,64,Female,Basic,1009,40,14,UPI,2,16
1059,24,Male,Basic,3509,45,2,Credit Card,8,30
1060,61,Male,Basic,3938,55,13,Net Banking,7,9
1061,25,Female,Basic,1359,51,4,Net Banking,5,42
1062,64,Male,Premium,1731,5,2,Credit Card,10,10
1063,52,Male,Premium,2882,13,5,Credit Card,2,13
1064,31,Female,Basic,453,28,11,Net Banking,9,48
1065,34,Female,Premium,3748,62,9,Credit Card,5,20
1066,53,Female,Basic,3385,24,4,Credit Card,8,29
1067,67,Female,Basic,1431,7,13,Debit Card,4,4
1068,57,Female,Premium,2623,38,8,UPI,9,46
1069,21,Male,Premium,3775,37,2,Net Banking,10,49
1070,19,Female,Premium,4461,68,5,Credit Card,7,28
1071,23,Male,Basic,1773,42,7,Net Banking,2,37
1072,59,Male,Premium,3108,5,6,UPI,3,13
1073,21,Male,Premium,4912,64,5,Net Banking,2,3
1074,46,Female,Premium,1825,50,13,Net Banking,5,37
1075,35,Female,Premium,4198,15,14,Net Banking,2,48
1076,43,Male,Enterprise,4083,53,1,Debit Card,5,19
1077,61,Female,Premium,3715,25,14,UPI,9,28
1078,51,Female,Premium,3603,9,6,UPI,2,19
1079,27,Female,Enterprise,4798,38,7,Net Banking,9,17
1080,53,Female,Premium,4880,22,0,Net Banking,7,18
1081,31,Male,Basic,2158,49,14,UPI,7,18
1082,48,Male,Premium,4209,68,8,Credit Card,5,23
1083,65,Female,Basic,2935,15,3,Debit Card,8,40
1084,32,Male,Basic,4691,65,7,UPI,7,9
1085,25,Female,Premium,3374,54,14,Net Banking,6,29
1086,31,Female,Enterprise,601,30,9,Credit Card,2,42
1087,40,Male,Enterprise,1174,20,6,Credit Card,6,29
1088,57,Male,Basic,423,33,13,Credit Card,2,2
1089,38,Male,Premium,4813,7,12,Debit Card,1,17
1090,33,Female,Basic,435,8,9,Debit Card,9,45
1091,62,Male,Enterprise,3698,28,6,UPI,5,31
1092,35,Female,Enterprise,4411,45,1,UPI,10,28
1093,64,Male,Premium,3434,11,0,UPI,10,43
1094,41,Male,Premium,425,31,3,UPI,4,48
1095,43,Female,Premium,2477,12,11,Net Banking,8,39
1096,42,Female,Premium,4477,51,1,Debit Card,5,30
1097,62,Female,Basic,1541,44,7,Credit Card,7,35
1098,58,Female,Basic,4236,50,9,Net Banking,3,48
1099,46,Female,Premium,409,17,6,UPI,8,20
